test_idx,label
0,4
3,0
6,1
9,4
11,4
13,2
14,8
30,4
33,4
35,2
37,4
45,4
46,0
50,4
52,2
53,4
54,1
67,4
71,4
76,4
80,4
87,4
88,2
89,8
98,4
102,4
111,4
117,4
124,0
128,4
130,4
141,8
152,7
153,4
160,8
161,4
165,4
167,7
177,2
181,2
187,5
188,1
195,4
196,4
200,4
214,7
215,4
216,4
220,4
228,4
230,4
233,8
242,3
248,7
249,4
252,2
254,3
265,1
267,4
274,4
278,4
280,2
289,4
294,8
301,4
305,4
309,4
310,4
316,4
317,1
323,8
325,5
329,5
336,2
337,2
340,2
348,1
367,4
370,8
382,9
384,4
393,4
407,1
408,0
417,3
418,1
419,4
425,4
430,4
433,4
442,4
446,4
447,4
450,2
451,4
452,1
456,8
466,4
468,4
472,9
473,8
478,8
479,1
498,4
503,1
509,3
516,1
526,8
533,4
539,4
543,0
547,8
554,7
557,2
559,8
570,8
571,4
580,4
590,4
592,4
595,4
597,2
606,6
623,6
628,8
634,4
638,9
639,4
642,4
650,4
653,2
657,2
660,4
662,4
663,2
668,1
674,4
687,1
692,4
693,2
707,1
708,4
725,0
726,2
743,1
747,4
749,8
750,4
751,3
763,4
774,4
780,2
781,4
782,4
786,1
789,2
822,8
830,4
835,4
837,4
843,4
851,0
857,4
860,2
863,4
869,4
879,2
881,4
887,1
891,2
901,1
905,4
906,0
910,1
912,9
922,1
923,7
924,5
925,1
928,5
936,4
953,8
962,2
970,4
982,4
983,7
986,8
995,2
999,8
1006,1
1008,2
1009,1
1016,8
1017,4
1020,2
1034,4
1036,1
1043,8
1047,4
1050,8
1053,4
1056,4
1058,4
1061,4
1062,4
1064,8
1076,0
1077,4
1078,2
1079,1
1080,1
1081,9
1082,8
1094,4
1103,4
1129,4
1131,8
1132,4
1136,4
1138,1
1139,1
1149,4
1151,4
1155,4
1158,2
1161,4
1162,5
1164,1
1165,4
1171,1
1178,4
1182,8
1186,2
1196,8
1198,1
1208,4
1212,8
1213,4
1218,4
1221,4
1226,2
1227,4
1232,4
1250,8
1252,4
1258,4
1260,1
1264,4
1270,1
1281,4
1284,4
1285,4
1288,8
1294,4
1297,4
1303,8
1305,4
1308,4
1314,4
1320,0
1322,7
1325,7
1332,4
1341,1
1349,1
1351,8
1358,4
1363,1
1367,4
1369,8
1390,6
1392,1
1393,2
1396,4
1401,8
1402,4
1406,4
1411,4
1431,4
1433,4
1438,6
1444,1
1446,4
1447,2
1451,3
1455,8
1456,4
1461,4
