uid,prediction
u000009,"i001069,i001952,i000481,i000661,i000909,i001663,i001922,i000554,i001914,i001455"
u000014,"i000832,i000720,i000476,i001069,i000554,i001663,i001682,i000481,i000646,i000999"
u000022,"i001151,i000282,i001515,i000360,i000317,i001922,i001320,i001026,i001682,i001113"
u000024,"i000481,i001952,i000909,i000661,i001478,i001753,i001455,i001508,i001875,i001038"
u000026,"i000909,i000481,i001069,i001952,i000661,i001663,i000342,i001445,i001038,i001455"
u000040,"i001914,i001649,i001455,i000909,i001673,i001069,i001087,i000481,i001922,i001952"
u000054,"i001952,i000661,i000481,i001069,i001455,i001445,i001673,i000521,i001922,i000909"
u000059,"i000481,i001455,i001673,i001952,i001710,i000661,i000909,i001445,i001922,i001069"
u000067,"i001875,i001673,i001455,i001710,i001445,i000618,i001753,i001952,i000661,i001069"
u000068,"i000481,i001069,i001952,i001455,i000661,i001663,i001922,i000909,i000695,i001445"
u000077,"i001952,i000481,i001038,i001445,i000661,i001069,i000554,i001663,i001455,i001046"
u000088,"i000481,i000909,i001069,i001952,i001922,i001455,i000661,i000324,i000555,i001673"
u000092,"i001922,i001952,i001069,i001455,i000481,i000555,i000909,i001673,i000324,i001682"
u000102,"i001069,i000481,i000909,i001952,i000661,i000521,i001663,i000947,i000342,i001445"
u000117,"i000481,i000521,i001952,i000661,i000342,i000909,i001663,i001069,i000554,i001949"
u000132,"i000481,i001069,i001663,i001952,i000909,i000661,i000554,i000521,i001445,i001922"
u000135,"i000909,i000481,i001069,i001478,i001952,i001663,i000342,i000521,i001038,i000661"
u000155,"i001069,i000481,i000909,i001952,i000521,i001663,i000342,i000324,i000554,i000661"
u000159,"i000481,i001069,i001952,i000909,i001046,i000661,i001663,i001038,i000646,i000521"
u000160,"i001069,i000481,i000909,i001952,i000695,i001663,i000661,i001240,i001455,i000521"
u000162,"i001922,i000342,i000977,i001663,i000661,i000481,i000521,i001217,i002146,i000909"
u000164,"i001949,i000554,i000481,i001069,i001952,i001663,i001240,i001445,i000342,i001191"
u000168,"i001069,i000481,i001952,i000909,i001663,i000521,i000661,i000947,i000554,i000342"
u000171,"i000909,i000481,i000661,i000342,i000521,i001663,i001069,i001952,i001038,i000646"
