uid,prediction
u000009,"i001952,i000481,i001455,i001914,i001069,i001673,i000661,i001445,i001710,i000554"
u000014,"i000720,i000832,i000999,i001455,i001922,i000481,i001069,i001952,i000909,i000661"
u000022,"i001151,i000282,i001515,i001922,i001682,i000555,i001026,i001320,i002009,i002056"
u000024,"i000481,i001952,i001069,i000661,i001455,i001663,i001038,i001673,i000646,i001445"
u000026,"i000481,i000909,i001952,i001069,i000661,i001922,i001663,i000521,i001455,i001445"
u000040,"i001914,i001455,i001649,i000481,i001922,i001673,i000909,i000554,i001710,i001069"
u000054,"i001445,i000661,i000481,i001455,i001952,i000554,i000646,i001922,i001673,i001314"
u000059,"i001455,i001673,i000481,i001710,i000909,i000695,i000324,i001952,i001445,i000554"
u000067,"i001455,i001875,i001673,i001710,i001445,i001952,i000554,i000481,i001922,i001069"
u000068,"i000481,i000695,i001952,i001069,i000661,i001455,i001922,i000909,i001663,i001049"
u000077,"i000481,i001952,i001038,i001069,i000661,i000646,i001663,i000521,i000909,i000158"
u000088,"i000481,i001952,i001455,i001069,i000909,i000661,i001673,i001922,i000324,i000555"
u000092,"i001922,i001455,i000481,i001952,i001682,i001673,i000661,i001914,i000324,i001710"
u000102,"i001069,i000481,i000909,i001952,i000521,i000947,i001663,i000661,i000342,i000324"
u000117,"i000481,i001952,i000521,i000909,i001069,i000661,i000342,i001663,i000554,i001143"
u000132,"i000481,i001069,i000909,i001663,i001952,i000661,i001922,i000554,i001445,i000521"
u000135,"i000909,i000481,i001069,i000521,i001663,i000342,i001952,i001478,i000947,i000661"
u000155,"i000481,i001069,i000909,i001952,i000521,i001663,i000342,i000947,i000661,i000554"
u000159,"i000481,i001952,i001069,i000909,i001046,i000521,i000661,i000646,i001663,i001038"
u000160,"i000481,i001069,i000695,i000909,i001663,i001952,i001240,i000947,i001049,i001584"
u000162,"i000342,i000481,i000661,i001922,i000947,i001663,i001069,i000521,i000253,i000646"
u000164,"i001949,i000554,i001240,i001191,i000481,i000956,i001143,i001952,i000652,i000695"
u000168,"i000481,i001069,i001952,i000909,i000661,i001663,i000521,i000554,i001922,i001455"
u000171,"i001922,i000909,i000342,i001069,i000977,i000481,i000521,i000661,i001914,i001663"
u000178,"i000555,i000324,i000898,i000327,i000110,i000481,i000909,i001455,i000877,i001952"
