uid,prediction
u000009,"i000481,i001069,i001952,i000909,i001663,i000661,i001445,i001455,i001922,i000554"
u000014,"i000832,i000720,i001069,i000999,i001445,i000481,i001663,i001335,i000554,i000931"
u000022,"i001151,i000282,i001515,i000360,i001922,i001026,i000317,i001682,i002056,i001320"
u000024,"i000481,i001952,i000909,i000661,i001069,i001478,i001455,i001038,i001710,i001445"
u000026,"i000909,i000481,i001069,i001952,i000661,i000521,i001455,i001663,i001445,i000646"
u000040,"i001914,i001649,i000909,i001455,i001087,i001673,i001069,i000481,i001922,i001952"
u000054,"i001952,i000481,i000661,i001069,i001455,i001673,i001445,i000947,i000521,i001914"
u000059,"i000909,i000481,i001455,i001069,i000324,i001952,i001673,i000555,i001922,i000661"
u000067,"i001875,i001455,i001069,i001673,i001710,i001952,i001445,i000481,i000909,i001753"
u000068,"i000481,i001952,i001069,i000695,i001455,i000661,i000909,i001922,i001445,i001663"
u000077,"i000481,i001952,i001038,i000661,i001069,i001445,i001046,i001455,i000909,i000554"
u000088,"i000481,i000909,i001069,i001952,i001455,i000661,i000324,i000555,i001673,i001922"
u000092,"i000481,i001922,i001952,i000909,i001069,i001455,i000324,i001673,i000555,i000282"
u000102,"i001069,i000481,i000909,i001952,i000521,i001663,i000661,i000947,i000342,i000324"
u000117,"i000481,i000521,i000909,i001069,i000661,i001952,i001663,i000342,i000554,i001949"
u000132,"i000481,i001069,i000909,i001663,i001922,i001952,i000661,i000521,i001445,i000554"
u000135,"i000909,i000481,i001069,i001478,i001952,i001663,i000521,i000661,i000342,i001038"
u000155,"i000481,i001069,i000909,i001952,i000521,i001663,i000342,i000324,i000661,i000554"
u000159,"i000481,i001069,i001952,i001046,i000909,i000661,i001663,i001038,i000646,i000521"
u000160,"i000481,i001069,i000909,i001952,i001663,i000695,i000661,i000521,i001455,i001445"
u000162,"i001922,i000342,i000481,i000521,i000977,i001663,i000909,i000661,i001217,i000324"
u000164,"i001949,i000481,i000554,i001240,i001445,i001663,i001069,i001191,i001143,i001952"
