uid,prediction
u000009,"i001069,i000481,i001952,i001663,i000661,i000909,i001922,i001455,i001445,i000554"
u000014,"i000832,i000476,i000720,i001069,i000481,i001663,i000554,i001455,i001445,i001682"
u000022,"i001151,i000282,i001515,i000360,i001922,i001026,i000317,i001682,i001320,i000909"
u000024,"i001952,i000481,i000909,i000661,i001455,i001069,i001478,i001753,i001151,i001508"
u000026,"i000909,i000481,i001069,i001952,i000661,i001663,i000521,i001445,i001455,i000324"
u000040,"i001914,i001649,i001455,i001087,i001673,i000909,i001069,i000333,i001445,i000554"
u000054,"i001455,i000481,i001952,i000661,i001069,i001445,i001673,i000909,i001663,i000554"
u000059,"i001455,i001069,i000909,i000481,i000324,i001922,i001673,i001952,i001445,i000554"
u000067,"i001875,i001455,i001673,i001445,i001710,i001952,i000481,i001069,i000661,i000324"
u000068,"i001069,i001952,i000481,i000661,i001455,i001663,i001922,i000909,i001445,i000695"
u000077,"i000481,i001952,i001038,i001445,i000554,i001455,i001069,i000909,i000661,i001663"
u000088,"i001069,i000909,i001952,i000481,i001455,i001673,i000661,i000324,i000555,i001922"
u000092,"i001069,i001455,i001922,i000481,i001952,i000909,i000324,i001673,i000555,i000554"
u000102,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000661,i000342,i001922"
u000117,"i000481,i000661,i000521,i001952,i000909,i001663,i000342,i001069,i000554,i001038"
u000132,"i001069,i000481,i000909,i001952,i001663,i001922,i000661,i000554,i000521,i001445"
u000135,"i001069,i000909,i000481,i001478,i001952,i001663,i000342,i000521,i000661,i000646"
u000155,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000342,i000554,i000661"
u000159,"i000481,i001069,i001952,i000909,i001046,i001663,i001038,i000661,i000646,i000521"
u000160,"i001069,i000481,i000909,i001952,i001663,i000695,i000947,i000521,i000661,i001455"
u000162,"i000342,i001922,i000481,i000521,i001663,i000909,i000661,i000977,i000554,i000324"
u000164,"i001949,i000554,i001445,i001240,i001191,i000481,i001069,i001663,i001952,i001143"
u000168,"i001069,i000481,i001952,i000909,i001663,i000661,i000521,i000947,i000554,i000342"
u000171,"i000909,i000481,i000342,i001069,i000521,i000661,i001663,i001952,i000646,i000324"
u000178,"i000555,i000898,i000324,i000909,i000110,i000327,i000481,i000521,i001125,i000877"
u000180,"i000481,i001952,i001069,i000909,i001663,i000521,i000661,i000554,i000342,i000324"
u000192,"i000555,i000324,i000909,i000110,i000898,i000481,i000521,i000327,i001922,i001125"
u000194,"i000251,i001069,i000695,i001462,i001584,i000909,i000931,i001049,i000652,i000554"
u000205,"i001069,i000481,i000909,i001952,i001663,i000661,i000947,i000521,i001922,i000554"
u000212,"i001922,i001455,i001673,i001069,i000695,i001952,i000909,i001710,i001682,i001914"
u000214,"i000977,i000324,i000555,i001922,i000282,i001151,i001516,i000110,i000898,i001682"
u000224,"i000695,i001584,i000058,i001049,i001688,i001240,i001462,i001069,i000401,i001922"
u000225,"i000481,i001069,i000909,i001952,i001753,i001663,i000661,i000947,i000521,i000695"
u000227,"i000481,i001922,i000909,i001240,i000554,i000695,i000521,i000324,i001069,i001688"
u000229,"i001515,i000282,i001151,i001026,i001922,i000360,i001682,i001320,i000317,i002056"
u000231,"i000481,i001069,i001952,i000909,i001663,i000521,i000661,i000207,i000342,i000947"
u000233,"i000977,i001922,i000481,i001663,i001968,i001952,i000521,i001069,i000342,i000909"
u000234,"i000555,i000324,i000110,i001922,i001952,i000481,i000909,i000661,i000327,i001069"
u000243,"i002056,i001922,i001801,i000282,i001682,i000200,i001335,i001649,i001021,i001623"
u000247,"i001069,i000481,i000909,i001952,i000521,i001663,i000947,i000342,i000554,i000661"
u000257,"i001922,i001682,i002009,i001335,i000282,i001801,i001595,i001151,i001049,i000200"
u000259,"i001069,i000909,i000481,i001952,i000947,i001663,i000554,i000521,i000342,i000324"
u000260,"i000481,i000521,i001952,i001069,i000661,i000554,i001710,i001143,i001445,i001455"
u000263,"i000481,i001069,i001952,i000909,i001663,i000521,i000661,i000554,i000342,i001922"
u000272,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000342,i000554,i000661"
u000281,"i001069,i000909,i000481,i001663,i000301,i000521,i000947,i001508,i001753,i000342"
u000286,"i000481,i001069,i000909,i001663,i001952,i001753,i000661,i000947,i000521,i001455"
u000292,"i001069,i000481,i001952,i000909,i000661,i001663,i000521,i000947,i000342,i001038"
u000297,"i000481,i001455,i001922,i001952,i000554,i001445,i000909,i000695,i001663,i000661"
