uid,prediction
u000009,"i001069,i000481,i001952,i000661,i001663,i000909,i001455,i001914,i001445,i001922"
u000014,"i000832,i000720,i000999,i001069,i000481,i001455,i000476,i001663,i000554,i001445"
u000022,"i001151,i000282,i001515,i001922,i001026,i000360,i001682,i001320,i000317,i002056"
u000024,"i000481,i001952,i000661,i001069,i001455,i000909,i001478,i001663,i001038,i001673"
u000026,"i000909,i000481,i001069,i001952,i000661,i001663,i001455,i000521,i001445,i001922"
u000040,"i001914,i001649,i001455,i001673,i000909,i001087,i000481,i001922,i001069,i001710"
u000054,"i000661,i000481,i001952,i001455,i001445,i001069,i001673,i001038,i000554,i001922"
u000059,"i001455,i000481,i000909,i001673,i001952,i001069,i000324,i001710,i000695,i001922"
u000067,"i001455,i001875,i001673,i001445,i001710,i001952,i000481,i001069,i000661,i001753"
u000068,"i000481,i001069,i001952,i000661,i000695,i001455,i001663,i000909,i001922,i001445"
u000077,"i000481,i001952,i001038,i000661,i001069,i001445,i001663,i001455,i000909,i000554"
u000088,"i000481,i001069,i001952,i000909,i001455,i000661,i001673,i000324,i001922,i000555"
u000092,"i001922,i001455,i001952,i000481,i001069,i001673,i000909,i000324,i001682,i000555"
u000102,"i001069,i000481,i000909,i001952,i000521,i001663,i000661,i000947,i000342,i001922"
u000117,"i000481,i000521,i001952,i000909,i000661,i001069,i000342,i001663,i000554,i001949"
u000132,"i000481,i001069,i000909,i001663,i001952,i001922,i000661,i000521,i000554,i001445"
u000135,"i000909,i000481,i001069,i001663,i001478,i001952,i000521,i000342,i000661,i000947"
u000155,"i001069,i000481,i000909,i001952,i000521,i001663,i000342,i000947,i000324,i000554"
u000159,"i000481,i001952,i001069,i000909,i001046,i001663,i000661,i000521,i000646,i001038"
u000160,"i001069,i000481,i000909,i001952,i000695,i001663,i001240,i000661,i001455,i000947"
u000162,"i001922,i000342,i000481,i001663,i000521,i000977,i000909,i000661,i001069,i000947"
u000164,"i001949,i000554,i000481,i001240,i001191,i001069,i001445,i001663,i001952,i000521"
u000168,"i001069,i000481,i001952,i000909,i001663,i000661,i000521,i001922,i000947,i000554"
u000171,"i000909,i000481,i000342,i001069,i000521,i000661,i001663,i001922,i001952,i000646"
u000178,"i000555,i000898,i000324,i000110,i000327,i000909,i000481,i001125,i001455,i000877"
u000180,"i000481,i001952,i000909,i000521,i001069,i001663,i000661,i000342,i000554,i001922"
u000192,"i000555,i000324,i000110,i000909,i000898,i000327,i000481,i000521,i001151,i001922"
u000194,"i000251,i001069,i000909,i000931,i000695,i001462,i000554,i001584,i000652,i000481"
u000205,"i000481,i001069,i000909,i001952,i001663,i000661,i000695,i001455,i000521,i000947"
u000212,"i001455,i001922,i001673,i001952,i001710,i000481,i001069,i001914,i000695,i000909"
u000214,"i000555,i000324,i000282,i001151,i000977,i001922,i000110,i000909,i000898,i000481"
u000224,"i000695,i001584,i000058,i001049,i001688,i001240,i001462,i000401,i001922,i001069"
u000225,"i000481,i001069,i000909,i001753,i001952,i001663,i000661,i001455,i000695,i001445"
u000227,"i001922,i000481,i001240,i000695,i000909,i001688,i000554,i000521,i001049,i000324"
u000229,"i001515,i000282,i001151,i000360,i001026,i001922,i001682,i001320,i000481,i000317"
u000231,"i000481,i001069,i001952,i000909,i001663,i000521,i000661,i000342,i000207,i000947"
u000233,"i001922,i000977,i000481,i000521,i001663,i001069,i000342,i000909,i001968,i001952"
u000234,"i000555,i000324,i000110,i000481,i001952,i001922,i000898,i000909,i000327,i001151"
u000243,"i002056,i001922,i001801,i001682,i001335,i000282,i001623,i001151,i001710,i001649"
u000247,"i001069,i000481,i000909,i001952,i000521,i001663,i000342,i000947,i000646,i000324"
u000257,"i001922,i001682,i002009,i001335,i001801,i001240,i000977,i001595,i000200,i000006"
u000259,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000342,i000661,i000324"
u000260,"i001952,i000481,i001069,i000521,i000661,i000554,i001143,i001455,i001710,i000909"
u000263,"i000481,i001069,i001952,i000909,i000521,i001663,i000661,i000342,i000554,i001922"
u000272,"i001069,i000481,i000909,i001952,i000521,i001663,i000947,i000342,i000661,i000554"
u000281,"i001069,i000909,i000481,i001753,i001663,i000301,i001508,i000947,i001906,i000521"
u000286,"i000481,i001069,i001753,i000909,i001952,i001663,i000661,i001455,i001508,i000521"
u000292,"i001069,i000481,i001952,i000661,i000909,i000521,i001663,i000947,i000342,i001038"
u000297,"i000481,i001455,i001922,i001445,i001952,i000695,i001663,i000554,i000661,i001673"
u000302,"i000481,i001069,i001952,i001663,i000695,i001455,i001922,i000661,i000909,i001445"
u000307,"i001069,i000481,i000909,i001952,i000661,i001663,i001455,i000947,i000521,i000324"
u000308,"i000646,i000481,i001663,i001952,i000521,i000661,i001069,i000909,i001038,i000342"
u000309,"i000555,i000324,i001922,i000898,i000110,i000909,i000327,i000481,i001151,i000282"
u000321,"i001069,i000481,i001952,i000909,i001663,i001922,i000661,i000695,i001445,i001455"
u000331,"i001069,i001753,i001906,i001508,i000481,i001952,i000909,i001455,i000301,i000325"
u000335,"i000481,i000909,i001069,i001952,i001663,i001455,i000554,i001445,i001922,i000661"
u000350,"i000481,i001952,i001069,i000909,i001663,i000661,i001038,i000554,i000521,i000207"
u000355,"i001069,i000481,i000909,i001952,i001663,i000521,i000947,i000661,i000554,i000324"
u000358,"i001673,i001455,i001710,i001445,i001952,i001949,i000554,i000805,i000661,i000481"
u000366,"i000481,i001069,i001952,i001663,i000909,i000661,i001038,i000521,i000646,i001478"
u000372,"i000481,i001069,i000909,i000521,i001952,i000342,i001663,i000947,i000324,i000554"
u000373,"i000481,i000909,i000661,i000521,i000342,i001952,i001069,i001663,i001038,i000207"
u000379,"i000481,i001952,i000909,i001069,i000661,i000521,i001922,i000555,i001663,i000324"
u000380,"i000909,i001069,i000481,i001952,i000521,i001663,i000342,i000947,i000324,i000661"
u000382,"i001914,i001455,i000909,i001753,i000481,i001649,i001087,i001445,i001673,i000554"
u000387,"i001922,i000282,i001682,i001952,i001151,i000481,i001069,i001335,i002009,i000909"
u000388,"i001875,i000481,i001069,i000555,i000324,i001952,i000521,i000618,i000898,i000909"
u000391,"i000481,i001455,i001922,i001952,i000909,i001069,i001673,i000661,i001445,i001663"
u000392,"i001151,i001320,i000282,i001515,i000360,i001922,i001026,i001682,i002009,i001113"
u000395,"i001069,i000481,i001952,i000909,i001663,i000661,i000521,i000342,i000554,i001922"
u000414,"i001445,i000481,i001069,i000909,i001952,i001663,i001455,i000661,i001314,i001478"
u000421,"i000481,i000909,i000695,i001663,i001455,i001952,i001069,i001240,i001445,i000554"
u000423,"i001069,i000481,i000909,i001952,i000521,i000342,i001663,i000947,i000661,i001922"
u000427,"i000481,i001663,i001952,i000909,i001069,i000661,i000646,i001038,i001478,i000207"
u000429,"i000481,i000909,i001069,i000521,i001952,i000324,i000342,i001663,i000555,i000554"
u000432,"i000481,i001663,i001952,i000661,i001445,i001455,i000909,i001069,i001922,i000695"
u000434,"i000481,i001455,i000695,i001069,i001952,i000909,i001922,i001673,i000324,i001663"
u000438,"i001069,i000481,i001952,i000909,i000661,i001455,i000947,i001663,i000521,i000695"
u000442,"i000481,i001952,i001069,i001038,i000661,i001445,i001663,i000646,i001455,i000342"
u000453,"i000909,i000481,i000554,i001922,i001445,i001455,i001240,i001143,i000521,i000342"
u000458,"i001069,i000481,i000909,i000947,i001952,i000521,i001663,i000342,i000570,i001713"
u000465,"i000481,i001753,i001952,i000661,i001445,i001069,i001508,i001922,i000325,i000518"
u000474,"i000646,i001663,i000481,i001952,i001949,i000661,i001445,i000554,i001069,i001046"
u000477,"i001455,i001673,i001710,i001445,i000554,i001952,i001949,i000661,i000481,i000805"
u000484,"i001922,i001682,i002009,i001335,i000977,i001801,i001049,i000695,i001240,i000006"
u000487,"i000481,i000554,i001069,i001663,i000909,i001914,i001240,i001455,i001952,i001445"
u000491,"i000909,i000481,i000521,i000324,i000342,i000555,i001069,i001922,i001952,i001663"
u000496,"i000481,i001069,i000909,i001952,i001663,i000521,i000342,i000661,i000554,i001922"
u000501,"i001069,i000481,i000909,i001952,i000521,i001663,i000342,i000947,i000324,i000661"
u000502,"i000481,i001069,i001952,i001922,i001663,i000661,i000909,i001445,i000554,i000521"
u000508,"i001952,i000481,i000661,i001069,i001663,i000909,i001455,i001038,i000521,i001445"
u000516,"i000481,i000909,i001952,i001455,i001922,i001069,i000661,i001673,i001663,i001445"
u000518,"i000481,i001949,i001952,i001069,i001663,i000554,i000521,i000909,i001038,i000646"
u000522,"i000695,i000481,i001240,i001922,i001688,i001455,i001049,i000554,i001663,i001952"
u000541,"i000909,i000481,i001069,i000342,i000521,i001952,i001663,i000947,i000661,i000646"
u000549,"i000652,i000695,i001069,i001949,i001877,i001240,i001455,i000842,i001049,i000931"
u000554,"i001069,i000481,i000909,i001952,i001663,i000554,i000324,i000695,i000521,i000947"
u000555,"i000481,i001455,i001069,i001952,i000909,i000695,i001663,i001673,i000661,i001922"
u000561,"i000481,i001069,i001952,i000909,i001663,i000695,i000661,i001455,i001922,i000947"
u000563,"i000481,i000909,i001069,i000521,i001952,i001663,i000342,i000947,i000554,i000324"
u000569,"i000324,i000555,i000110,i000909,i000481,i000898,i000521,i000327,i001922,i000342"
u000571,"i001069,i000481,i000909,i001952,i000947,i000521,i001663,i000342,i000661,i000207"
u000572,"i000481,i000909,i001069,i001508,i001753,i001906,i001952,i000325,i000555,i000912"
u000573,"i001069,i000481,i000947,i001038,i001952,i000909,i001663,i000521,i000342,i000661"
