iid,i_cat_01,i_cat_02,i_cat_03,i_bucket_01
i000001,0,0,0,3
i000002,0,0,0,3
i000003,0,0,0,3
i000004,0,0,0,3
i000005,5,1,32,3
i000006,6,21,89,1
i000007,0,0,0,3
i000008,3,20,84,3
i000009,0,0,0,3
i000010,3,15,84,2
i000011,3,9,58,1
i000012,0,0,0,3
i000013,0,0,0,3
i000014,0,0,0,3
i000015,3,2,28,1
i000016,4,11,22,3
i000017,4,18,23,5
i000018,2,13,20,3
i000019,0,0,0,3
i000020,2,5,0,1
i000021,3,20,20,1
i000022,0,0,0,3
i000023,0,0,0,3
i000024,3,20,44,3
i000025,3,15,20,3
i000026,5,1,58,2
i000027,0,0,0,3
i000028,3,15,58,3
i000029,0,0,0,3
i000030,0,0,0,3
i000031,0,0,0,3
i000032,0,0,0,3
i000033,2,5,84,2
i000034,0,0,0,3
i000035,0,0,0,3
i000036,6,21,84,1
i000037,6,7,37,1
i000038,4,18,65,3
i000039,4,11,12,4
i000040,3,20,76,3
i000041,0,0,0,3
i000042,3,15,50,2
i000043,0,0,0,3
i000044,0,0,0,3
i000045,2,10,20,2
i000046,3,9,58,1
i000047,0,0,0,3
i000048,4,11,59,7
i000049,0,0,0,3
i000050,0,0,0,3
i000051,0,0,0,3
i000052,6,24,28,3
i000053,3,15,37,1
i000054,0,0,0,3
i000055,0,0,0,3
i000056,0,0,0,3
i000057,2,23,48,3
i000058,6,7,58,1
i000059,3,2,8,4
i000060,6,24,32,3
i000061,0,0,0,3
i000062,6,24,84,1
i000063,3,3,20,1
i000064,5,8,37,2
i000065,0,0,0,3
i000066,0,0,0,3
i000067,4,18,75,5
i000068,0,0,0,3
i000069,2,5,20,1
i000070,6,24,4,2
i000071,3,20,9,3
i000072,3,3,47,5
i000073,3,20,27,3
i000074,6,14,84,2
i000075,3,2,27,3
i000076,3,20,79,3
i000077,0,0,0,3
i000078,0,0,0,3
i000079,4,11,50,3
i000080,0,0,0,3
i000081,0,0,0,3
i000082,0,0,0,3
i000083,3,9,50,1
i000084,3,15,6,2
i000085,4,11,59,4
i000086,6,7,84,1
i000087,0,0,0,3
i000088,0,0,0,3
i000089,5,8,58,2
i000090,3,15,72,2
i000091,0,0,0,3
i000092,6,24,34,2
i000093,4,11,85,2
i000094,0,0,0,3
i000095,6,24,37,2
i000096,0,0,0,3
i000097,2,5,84,1
i000098,0,0,0,3
i000099,2,5,20,1
i000100,3,15,61,2
i000101,0,0,0,3
i000102,3,3,89,3
i000103,2,23,48,2
i000104,4,11,26,1
i000105,6,21,89,3
i000106,3,20,82,3
i000107,0,0,0,3
i000108,0,0,0,3
i000109,3,2,84,1
i000110,5,1,32,2
i000111,4,11,50,3
i000112,0,0,0,3
i000113,6,7,84,2
i000114,3,2,20,3
i000115,6,7,84,3
i000116,6,24,51,2
i000117,6,24,68,2
i000118,0,0,0,3
i000119,3,3,26,1
i000120,5,16,72,5
i000121,2,13,84,1
i000122,0,0,0,3
i000123,6,7,0,1
i000124,0,0,0,3
i000125,3,20,43,3
i000126,0,0,0,3
i000127,0,0,0,3
i000128,0,0,0,3
i000129,2,5,84,1
i000130,4,11,83,1
i000131,3,15,84,4
i000132,6,7,58,2
i000133,0,0,0,3
i000134,2,23,20,2
i000135,0,0,0,3
i000136,3,2,58,1
i000137,0,0,0,3
i000138,0,0,0,3
i000139,4,19,48,1
i000140,5,16,32,5
i000141,3,15,28,1
i000142,4,11,50,3
i000143,0,0,0,3
i000144,3,20,37,2
i000145,0,0,0,3
i000146,0,0,0,3
i000147,0,0,0,3
i000148,6,14,51,1
i000149,3,20,79,3
i000150,0,0,0,3
i000151,6,24,84,2
i000152,3,15,6,2
i000153,0,0,0,3
i000154,2,23,20,2
i000155,2,13,51,1
i000156,4,18,55,7
i000157,0,0,0,3
i000158,3,15,6,2
i000159,3,20,0,3
i000160,0,0,0,3
i000161,0,0,0,3
i000162,3,20,9,3
i000163,3,20,79,3
i000164,5,6,84,1
i000165,0,0,0,3
i000166,4,11,85,3
i000167,5,12,32,1
i000168,6,21,89,4
i000169,3,2,58,2
i000170,6,14,58,1
i000171,4,11,59,4
i000172,0,0,0,3
i000173,3,20,78,2
i000174,3,20,40,3
i000175,4,18,43,5
i000176,3,3,91,3
i000177,0,0,0,3
i000178,0,0,0,3
i000179,6,14,84,1
i000180,0,0,0,3
i000181,6,7,61,2
i000182,5,16,0,3
i000183,6,7,91,1
i000184,4,11,85,3
i000185,1,4,20,1
i000186,3,15,28,2
i000187,4,18,50,5
i000188,0,0,0,3
i000189,3,3,58,4
i000190,0,0,0,3
i000191,6,24,61,1
i000192,0,0,0,3
i000193,0,0,0,3
i000194,0,0,0,3
i000195,3,20,58,1
i000196,6,7,58,2
i000197,4,11,85,5
i000198,3,15,20,1
i000199,0,0,0,3
i000200,6,21,84,1
i000201,0,0,0,3
i000202,0,0,0,3
i000203,0,0,0,3
i000204,0,0,0,3
i000205,0,0,0,3
i000206,0,0,0,3
i000207,3,15,20,1
i000208,5,16,29,5
i000209,0,0,0,3
i000210,6,7,58,1
i000211,6,14,6,2
i000212,0,0,0,3
i000213,4,18,60,2
i000214,0,0,0,3
i000215,4,18,1,5
i000216,3,15,61,1
i000217,0,0,0,3
i000218,5,6,84,2
i000219,3,20,10,1
i000220,6,7,58,3
